trajectory_idx,fitted_W,fitted_D,v0,direction,r2,rmse,model_type,success
0,0.4301519750334917,3.6806532609826887,0.81,1,-11.62179195061614,0.2921056516513087,SAM,True
1,0.3390208097758961,3.6035741872995977,0.88,1,-51.34294835529763,0.2794710250058866,SAM,True
2,0.15111349783871467,2.0000000000000004,1.23,2,-15.492531851417578,0.24716689009392526,SAM,True
3,0.7723167647670248,2.5409529651613725,0.97,1,0.8146915728111183,0.20198873959078498,SAM,True
4,0.32513201163236605,3.576697305552729,0.85,2,-37.94318647654125,0.2853597780389656,SAM,True
5,0.05916304209487025,2.0000000000000004,0.85,2,-254.26898337171357,0.18027283287576326,SAM,True
6,0.16250506719359517,3.5877641080977694,0.62,1,-417.92341333834435,0.2204429993155781,SAM,True
7,0.22932234133477147,3.6981990318104923,0.69,1,-215.10908593702325,0.2455492516307665,SAM,True
8,0.25841408317692505,2.0000000000000004,1.12,2,-0.9073063585164967,0.21445555108675934,SAM,True
9,0.1949048008820999,3.472450656519012,0.91,2,-248.40507958770678,0.3054585640059172,SAM,True
10,0.08749848561601567,2.0000000000000004,0.97,1,-56.741079969336624,0.20935087613842285,SAM,True
11,0.0790656429168447,2.0000000000000004,1.11,2,-139.4032926298545,0.23805962496213948,SAM,True
12,0.2953980515901788,3.5847123951814743,0.93,2,-99.40970615771342,0.32810097541571875,SAM,True
13,0.2379740981114801,2.6201784188355752,1.04,2,-0.3596686417150441,0.244305652810547,SAM,True
14,0.2255624281139742,3.640010688345648,0.79,2,-710.1868607704926,0.2804463494727802,SAM,True
15,1.2020445628257124,3.919945684942363,0.78,1,0.514428016485751,0.2076658951169651,SAM,True
16,0.362403837818928,3.67478694928027,0.91,2,-77.21120384983921,0.3003530105868068,SAM,True
17,0.24161734483828284,3.600980823522858,0.99,2,-737.0406282551032,0.3458956002125999,SAM,True
18,0.49412618712394685,3.7848271803567592,0.89,1,-1.951002031512021,0.17037545912821725,SAM,True
19,0.2805543083823024,2.0000000000000004,1.09,2,-0.5542386262381696,0.2127444980669415,SAM,True
20,0.6615356832583922,3.5190517240810766,1.24,2,-5.735840797604053,0.44289445424565344,SAM,True
21,0.8048173588900549,3.8434726982653804,0.92,1,-2.351026289538307,0.30924270741059984,SAM,True
22,0.1290000120491575,2.0000000000000004,1.06,1,-12.221168213009317,0.22653643788337546,SAM,True
23,0.30265558068791903,2.0000000000000004,1.03,1,-0.05369033377190169,0.20550042061807855,SAM,True
